Sentences,Emoji sequence,
Look! There's a Folk concert tomorrow evening.,🎤🎶🌆,
Do you like cooking?,🧑🏽‍🍳❤️❓,🧑‍🍳
Will you help me water the flowers?,💧🌷❓,
I cleaned the house and played tennis.,🧹🏠🎾,
I'm glad it didn't rain.,☔🙅😀,
Those burgers smell great.,🍔👃🏽👌🏽,👃👌
I’m going to the hospital.,🏥🚶‍♀️,🚶
I'm really sick of waiting for a bus.,😩⌚🚌,
I feel absolutely horrible.,🤒😷,
How are you doing this morning?,😊👌🏽🌄❓,
I like to go to the movies.,🎦🍿❤️,
Here’s your hot dog and beer.,🌭🍺,
I like playing the piano.,🎹❤️,
Did you make this cake?,🧑🏽‍🍳🎂❓,
I like to read.,📖❤️,
I'm going to graduate this summer .,🧑‍🎓☀️,
How about a party at home?,🎉🏠❓,
The mosquitos are biting me!,🦟😞,
Stop running around.,🚫🏃‍♀️,🏃
I look pale today. I think I've caught a cold.,😷🤧,
What are you reading about in the newspaper?,📰👓❓,
Want to go shopping tonight? ,🛒🌃❓,
I love going for bike rides and walks.,❤️🚲🚶‍♀️,
How do you like my new car?,🚗👌🏽❓,
Thankful for the gift.,🎁😇,
"I've been starving, so ready to eat now.",😋🍽️,
I have the best friends in the world.,🥰👭,
I'm sorry to hear that.,😔,
Happy Birthday! Can't wait for the party tomorrow.,🥳🎂🤩🎉,
I have to drive to school for a meeting this morning.,🚗🏫🤝,
Goodnight everyone!,😴🌃,
Merry Christmas from us!,🎅🎄,
It's a boy! Can't wait to meet baby Chase.,👶👦🤩,
You know you make my world light up.,❤️🌎✨,
All you need is love and a dog.,😇❤️🐶,
Birthday kisses for you.,🥳🎂😘,
I need to get my hair done.,💇,
Had an amazing upper body workout with my partner in crime.,💪🏋️‍♂️👌🏽👬,
1st place feels so great!,🥇🥰,
Hey Smiley face.,🙋‍♀️😊,
Today's sunset looks perfect.,🌇❤️👌🏽,
About how long will it take me to get there?,⌚🏃‍♂️❓,
It's getting cold here.,🥶❄,
A shot of me from sometime in fall.,📸🍁,
This restaurant has good food.,🏨🍽️👍,
Freezing on a beach walk is always fun.,🥶🏖🚶‍♀️👌,
"Hi, I missed you.",🙋‍♂️😍,
Are you a fan of football by any chance?,⚽❤️❓,
Nice chatting with you!,🤳🤝,
"Hi, how are you?",🙋‍♀️👌❓,
What cartoons do you like?,📺❤️❓,
That's a difficult question,❓🤔,
I don't feel well,😓🤒,
When will you be back?,🏠🚶❓,
I love travelling,❤️🧳,
Did you eat?,🍽️❓,
The food was spicy.,🍽️🥵,
Congratulations on your graduation,🧑‍🎓🥳🎉,
Can't sleep,👎😴,
I'm going to the museum,🚶🖼️,
Going to the dentist later.,🚶‍♀️🦷👩‍⚕️,
Ordering food tonight.,📱🍽️,
So tired. Didn't sleep well last night.,😫👎😴🌃,
"I can't wait, going to see movie tonight!",😩🎥🍿,
still hungry after eating....,😩🍽️😋,
I am listening to music,🎶🎧,
Do you want to come to my house?,🏠🚶❓,
Really? That's awful to hear!,😟😞,
Get well soon.,🤧💐❤️,
My prayers are always with you,🙏🤲,
I have a terrible headache.,😖🤕,
I need to buy some flowers for my partner.,💐🧑‍🤝‍🧑,
I really need to start eating healthier.,🍽🥗,
Have you ever gotten a parking ticket?,🚗🎫❓,
Last night was fun.,🌃🤩,
I'm so tired I need a head massage.,😮‍💨💆,
I like watching TV.,📺🥰,
I went to see the Statue of Liberty last summer.,👀🗽☀️,
I love the new pants that I bought.,😍👖,
I'm going to be late for school.,😓🕔🏫,
I saw a peacock at the zoo.,😍🦚,
That pizza looks disgusting.,🍕🤢,
I'm scared of clowns.,😨🤡,
The vampire movie I watched was amazing.,🧛🏽🎥👌🏽,
Do you want to go to the art gallery?,🎨🖼️❓,
I'm excited for today's cricket match.,🤩🏏,
I'm dressing up as fairy for the halloween party.,🧚‍♀️🎃🎉,
That rollercoaster ride made me puke.,🎢🤮,
Do you want to fly kites together?,🪁👭❓,
I'm flying to see the Tokyo tower.,✈🗼,
